,sentence_id,topic,label,age,education,ethnicity,pol_alignment,english_proficiency,second_lang,guideline,binary_label,pol,group,gender,orig_labels,orig_labels_binary,Input.ID_in_set,Input.set,Input.ID
0,1,cloning,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,9.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,0,val,0
1,2,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,1,val,1
2,3,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,7.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,2,val,2
3,4,cloning,CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,5.0,Well,Yes,1,1,conservative,MC,male,NoArgument,0,3,val,3
4,5,cloning,NO CLAIM,21-30,"Doctorate degree (For example: PhD, EdD)",White,9.0,Very well,Yes,1,0,conservative,MC,male,Argument_against,1,4,val,4
5,6,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,5,val,5
6,7,cloning,NO CLAIM,21-30,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),White,10.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,6,val,6
7,8,cloning,NO CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",Black or African American,9.0,Well,Yes,1,0,conservative,MC,male,Argument_for,1,7,val,7
8,9,cloning,CLAIM,21-30,"Bachelor's degree (For example: BA, AB, BS)",White,5.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,8,val,8
9,10,cloning,CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,8.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,9,val,9
10,11,cloning,NO CLAIM,31-40,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Black or African American,6.0,Very well,No,1,0,conservative,MC,male,NoArgument,0,10,val,10
11,12,cloning,CLAIM,41-50,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",White,9.0,Very well,No,1,1,conservative,MC,male,NoArgument,0,11,val,11
