,Input.ID_in_set,Input.ID,Input.set,Input.topic,Answer.label.label,guideline,gender,political_orientation,age,english_proficiency,ethnicity,education,speaks_other_language,qualification,binary_labels
0,0,0,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
1,1,1,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
2,2,2,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
3,3,3,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
4,4,4,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
5,5,5,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
6,6,6,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
7,7,7,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
8,8,8,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
9,9,9,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
10,10,10,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
11,11,11,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
12,12,12,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
13,13,13,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
14,14,14,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
15,15,15,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
16,16,16,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
17,17,17,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
18,18,18,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
19,19,19,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
20,20,20,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
21,21,21,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
22,22,22,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
23,23,23,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
24,24,24,val,cloning,NO CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,0
25,25,25,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
26,26,26,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
27,27,27,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
28,28,28,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
29,29,29,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
30,30,30,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
31,31,31,val,cloning,CLAIM,1,female,2,51_or_over,very_well,7,4.0,no,1,1
